date,symbol,open,high,low,adjClose,value,volume,count,close
6/29/2008,Sapna,5800,5800,5800,5800,1.09846E+12,189389047,5685,5800
6/30/2008,Sapna,5974,5974,5801,5948,1.16854E+11,19643005,2021,5948
7/1/2008,Sapna,5829,5839,5790,5808,1.31567E+11,22646072,805,5808
7/2/2008,Sapna,5869,5982,5808,5933,21308419168,3591428,551,5933
7/5/2008,Sapna,6070,6110,5952,6076,44425058143,7310389,1066,6076
7/6/2008,Sapna,6258,6258,6200,6255,28823954077,4607603,539,6255
7/7/2008,Sapna,6442,6442,6068,6398,1.12428E+11,17571371,1293,6398
7/8/2008,Sapna,6589,6589,6300,6542,51821832634,7920559,1085,6542
7/9/2008,Sapna,6451,6460,6346,6423,6542188415,1030343,191,6423
7/12/2008,Sapna,6231,6250,6231,6235,10154071372,1629454,233,6235
7/13/2008,Sapna,6200,6422,6101,6375,15220625480,2387382,482,6375
7/14/2008,Sapna,6559,6566,6437,6542,11739243205,1794383,392,6542
7/15/2008,Sapna,6738,6738,6738,6738,15626439438,2319151,304,6738
7/20/2008,Sapna,3400,6738,3400,6738,1.85682E+11,39182025,3,6738
7/27/2008,Sapna,5800,6738,5800,6738,3988611380,687690,2,6738
9/15/2008,Sapna,7035,9000,6730,7074,77182667475,10909243,2710,7074
9/16/2008,Sapna,7286,7286,7090,7258,60655536681,8356577,2161,7258
9/17/2008,Sapna,7431,7475,7350,7445,38608669347,5185186,1388,7445
9/20/2008,Sapna,7589,7589,7222,7264,13493179836,1857382,575,7264
9/21/2008,Sapna,7113,7200,7047,7102,28601922347,4027472,1019,7102
9/23/2008,Sapna,7275,7315,7201,7312,18998822401,2598000,748,7312
9/24/2008,Sapna,7381,7400,7250,7333,15668401034,2136544,655,7333
9/27/2008,Sapna,7281,7281,7114,7248,4902911084,687840,223,7248
9/28/2008,Sapna,7070,7200,7035,7068,21669371621,3065766,801,7068
9/29/2008,Sapna,7140,7160,7060,7083,6126642160,863343,311,7083
9/30/2008,Sapna,7084,7119,6999,7043,8406995590,1196114,368,7043
10/4/2008,Sapna,6870,7000,6832,6980,3864824553,563693,171,6980
10/5/2008,Sapna,6771,6978,6303,6978,4.32059E+11,68547222,8,6978
10/6/2008,Sapna,6769,6975,6303,6975,3.71095E+11,58874381,16,6975
10/7/2008,Sapna,6766,6766,6766,6766,11223359608,1658788,207,6766
10/8/2008,Sapna,6564,6766,6564,6766,20934616,3189,4,6766
10/11/2008,Sapna,6564,6766,6564,6766,2660440,405,3,6766
10/12/2008,Sapna,6564,6765,6564,6765,57115374,8701,3,6765
10/13/2008,Sapna,6563,6764,6563,6764,52768530,8040,5,6764
10/14/2008,Sapna,6562,6763,6562,6763,62564118,9534,7,6763
10/15/2008,Sapna,6561,6763,6561,6763,6877948,1048,5,6763
10/18/2008,Sapna,6561,6763,6561,6763,3741790,570,2,6763
10/19/2008,Sapna,6561,6763,6561,6763,2035930,310,2,6763
10/21/2008,Sapna,6561,6763,6561,6763,133240,20,2,6763
10/22/2008,Sapna,6561,6561,6561,6561,67702959,10319,3,6561
10/26/2008,Sapna,6365,6365,6365,6365,20889930,3282,1,6365
10/27/2008,Sapna,6175,6175,6175,6175,15388100,2492,2,6175
10/28/2008,Sapna,5990,5990,5990,5990,148234530,24747,3,5990
10/29/2008,Sapna,5811,5811,5811,5811,159570060,27460,3,5811
11/1/2008,Sapna,5637,5810,5637,5810,49663700,8810,3,5810
11/3/2008,Sapna,5636,5636,5636,5636,1127200,200,1,5636
11/5/2008,Sapna,5467,5636,5467,5481,55199860027,10069398,1726,5481
11/8/2008,Sapna,5317,5353,5317,5353,6908149829,1299257,304,5353
11/9/2008,Sapna,5193,5245,5193,5245,5822334997,1121189,157,5245
11/10/2008,Sapna,5088,5244,5088,5244,57877560,11375,3,5244
11/11/2008,Sapna,6303,6303,5244,5244,5.19862E+11,82478541,2,5244
11/16/2008,Sapna,5087,5244,5087,5244,3954169,777,2,5244
11/17/2008,Sapna,5087,5244,5087,5244,1542931,303,2,5244
11/19/2008,Sapna,5087,5244,5087,5244,510270,100,2,5244
11/22/2008,Sapna,5087,5244,5087,5244,581488,114,2,5244
11/25/2008,Sapna,5087,5087,5087,5087,254350,50,1,5087
11/29/2008,Sapna,4935,4935,4935,4935,246750,50,1,4935
11/30/2008,Sapna,4787,4787,4787,4787,2202020,460,2,4787
12/1/2008,Sapna,4644,4644,4644,4644,357588,77,1,4644
12/2/2008,Sapna,4505,4644,4505,4644,4727135,1049,4,4644
12/3/2008,Sapna,4505,6255,4505,4505,3.90524E+12,624339035,6,4505
12/6/2008,Sapna,4370,4370,4370,4370,218500,50,1,4370
12/7/2008,Sapna,4239,4239,4239,4239,8478000,2000,1,4239
12/10/2008,Sapna,4112,4112,4112,4112,41120,10,1,4112
12/13/2008,Sapna,3989,3989,3989,4111,35853132,8988,3,3989
12/14/2008,Sapna,3988,3988,3988,3988,50519984,12668,2,3988
12/15/2008,Sapna,3869,3869,3869,3869,7738000,2000,1,3869
12/16/2008,Sapna,3753,3753,3753,3753,24203097,6449,7,3753
12/20/2008,Sapna,3641,3641,3641,3641,98991508,27188,6,3641
12/21/2008,Sapna,3532,3532,3532,3532,35320,10,1,3532
12/22/2008,Sapna,3427,3427,3427,3532,24674400,7200,3,3427
12/23/2008,Sapna,3427,3427,3427,3427,171350,50,1,3427
12/24/2008,Sapna,3325,3325,3325,3325,19577600,5888,4,3325
12/27/2008,Sapna,3226,3226,3226,3226,45680160,14160,4,3226
12/28/2008,Sapna,3130,3130,3130,3130,16811230,5371,4,3130
12/29/2008,Sapna,3037,3130,3037,3041,20081582231,6602795,860,3037
12/30/2008,Sapna,3003,3083,3003,3039,2144142271,706341,102,3027
12/31/2008,Sapna,3030,3030,2954,3018,2498695652,833707,195,3000
1/3/2009,Sapna,3019,3108,3019,3054,2529129192,817996,160,3105
1/4/2009,Sapna,3143,3145,3139,3101,2695139463,857029,143,3145
1/5/2009,Sapna,3194,3194,3194,3117,919721882,287953,51,3194
1/10/2009,Sapna,3210,3210,3210,3132,846798000,263800,48,3210
1/11/2009,Sapna,3225,3225,3225,3132,8688150,2694,2,3225
1/12/2009,Sapna,3225,3225,3225,3132,21575250,6690,5,3225
1/13/2009,Sapna,3225,3225,3225,3132,19927275,6179,3,3225
1/14/2009,Sapna,3225,3225,3208,3225,9873952875,3062075,351,3225
1/17/2009,Sapna,3321,3321,3321,3318,5381398215,1620415,150,3321
1/18/2009,Sapna,3417,3417,3417,3323,265521402,77706,11,3417
1/19/2009,Sapna,3422,3422,3422,3422,5697630000,1665000,66,3422
1/20/2009,Sapna,3524,3524,3524,3524,5867118172,1664903,35,3524
1/21/2009,Sapna,3629,3629,3629,3629,6041932987,1664903,37,3629
1/24/2009,Sapna,3737,3737,3522,3703,66082353679,17844964,1018,3532
1/25/2009,Sapna,3592,3770,3592,3602,22808589255,6332525,539,3592
1/26/2009,Sapna,3511,3675,3511,3584,2138967796,602196,109,3560
1/27/2009,Sapna,3599,3691,3597,3644,3872162873,1052549,145,3691
1/28/2009,Sapna,3753,3753,3753,3753,8448235686,2251062,92,3753
1/31/2009,Sapna,3865,3865,3865,3865,6946661125,1797325,103,3865
2/1/2009,Sapna,3980,3980,3980,3980,6613749080,1661746,120,3980
2/2/2009,Sapna,4098,4099,4003,4091,25085134055,6131798,711,4090
2/3/2009,Sapna,4087,4168,4010,4089,4500887297,1100858,304,4077
3/10/2009,Sapna,4651,4830,4600,4680,16846269403,3599332,627,4680
3/11/2009,Sapna,4790,4820,4751,4762,5017028110,1042917,146,4820
3/14/2009,Sapna,4904,4904,4904,4833,4072801424,830506,48,4904
3/16/2009,Sapna,4977,4977,4977,4848,858950568,172584,33,4977
3/17/2009,Sapna,4993,4993,4993,4935,4990368689,999473,52,4993
3/18/2009,Sapna,5083,5083,5083,4984,2785997383,548101,134,5083
3/25/2009,Sapna,5133,5133,5133,5020,2053200000,400000,49,5133
3/28/2009,Sapna,5170,5170,5170,5100,4603368000,890400,69,5170
3/29/2009,Sapna,5253,5253,5253,5173,4146397767,789339,36,5253
3/30/2009,Sapna,5328,5328,5328,5252,4545167616,853072,40,5328
3/31/2009,Sapna,5409,5409,5409,5347,5428921347,1003683,88,5409
4/4/2009,Sapna,5507,5507,5507,5350,163359648,29664,7,5507
4/5/2009,Sapna,5510,5510,5510,5356,347196120,63012,9,5510
4/6/2009,Sapna,5516,5516,5516,5516,9192094072,1666442,76,5516
4/7/2009,Sapna,5681,5681,5681,5681,9448292659,1663139,40,5681
4/8/2009,Sapna,5851,5851,5851,5851,9736064000,1664000,69,5851
4/11/2009,Sapna,6026,6026,6026,6026,14001085596,2323446,137,6026
4/12/2009,Sapna,6206,6206,5846,6094,1.63104E+11,26763724,2437,5846
4/13/2009,Sapna,5912,5912,5912,6091,154557416,26143,13,5912
4/14/2009,Sapna,5909,5909,5909,6091,1229072,208,2,5909
4/15/2009,Sapna,5909,5909,5909,5909,9878010301,1671689,66,5909
4/18/2009,Sapna,5908,6060,5808,5930,20702555623,3490932,478,5950
4/26/2009,Sapna,6599,6599,6110,6306,96814762812,15352749,2019,6300
4/27/2009,Sapna,6330,6350,6118,6172,19333062639,3132402,574,6118
4/28/2009,Sapna,6110,6110,5987,6015,24062115856,4000444,754,5987
4/29/2009,Sapna,5905,6159,5881,6037,28723341088,4757523,501,6150
5/2/2009,Sapna,6218,6218,6218,6196,9071869242,1458969,114,6218
5/3/2009,Sapna,6381,6381,6381,6275,4552301115,713415,39,6381
5/4/2009,Sapna,6463,6463,6463,6463,10804804622,1671794,50,6463
5/5/2009,Sapna,6656,6656,6476,6651,93858496282,14111565,1996,6656
5/6/2009,Sapna,6790,6850,6673,6811,37330916606,5480993,877,6850
5/9/2009,Sapna,7015,7015,7015,7015,12181547500,1736500,158,7015
5/10/2009,Sapna,7225,7225,7107,7210,59586756683,8264583,943,7168
5/11/2009,Sapna,7100,7170,6994,7027,21246002904,3023355,429,6994
5/12/2009,Sapna,6902,7020,6817,6829,50843550284,7445628,730,6817
5/13/2009,Sapna,6799,7001,6750,6892,14879331102,2159061,501,6831
5/16/2009,Sapna,6829,6829,6686,6690,20573964320,3075203,400,6686
5/17/2009,Sapna,6564,6680,6500,6559,14282459794,2177653,446,6610
5/18/2009,Sapna,6616,6724,6500,6576,14569846395,2215601,392,6550
5/19/2009,Sapna,6550,6647,6379,6491,12244942124,1886542,375,6449
5/20/2009,Sapna,6500,6685,6500,6669,21134390917,3169249,334,6685
5/23/2009,Sapna,6869,6869,6869,6680,621198015,90435,11,6869
7/13/2009,Sapna,6182,6182,5960,6013,49627687413,8253549,901,6000
7/14/2009,Sapna,6139,6187,6011,6097,8218267149,1343420,299,6180
7/15/2009,Sapna,6193,6279,6160,6232,13704265407,2198905,278,6279
7/18/2009,Sapna,6260,6400,6260,6347,13643250746,2149408,435,6302
8/25/2009,Sapna,6995,7001,6705,6809,2.16531E+11,31802563,2903,6800
8/26/2009,Sapna,7013,7013,6850,7003,64271724003,9177507,1429,7013
8/29/2009,Sapna,7213,7213,6800,6849,3.1882E+11,46547153,1260,7000
8/30/2009,Sapna,6852,6900,6644,6675,28616757631,4287277,955,6652
8/31/2009,Sapna,6610,6875,6581,6806,7.33239E+11,107729042,301,6875
9/1/2009,Sapna,7010,7010,7000,7010,20246449996,2888231,645,7010
9/2/2009,Sapna,7220,7220,7060,7198,28566825301,3968682,874,7140
9/5/2009,Sapna,7086,7130,6983,7033,9180111980,1313453,327,6983
9/6/2009,Sapna,6850,6872,6823,6967,3790971899,554748,116,6823
9/7/2009,Sapna,6758,6940,6758,6769,15330554958,2264845,528,6758
9/8/2009,Sapna,6929,6929,6710,6828,5841519484,848505,221,6871
9/9/2009,Sapna,6880,6984,6802,6862,6243114962,906028,222,6802
9/13/2009,Sapna,6700,6799,6671,6796,5580574943,829263,262,6730
9/14/2009,Sapna,6750,6750,6650,6742,5401619363,808012,218,6665
9/15/2009,Sapna,6670,6670,6551,6577,13602897311,2068221,372,6600
9/16/2009,Sapna,6600,6748,6600,6634,5243652596,782820,224,6725
9/19/2009,Sapna,6770,6833,6770,6814,10374761438,1518741,114,6833
9/21/2009,Sapna,6990,7017,6834,6980,13929730213,1995764,239,6999
9/22/2009,Sapna,6871,7180,6871,7105,36232571300,5099502,484,6971
9/23/2009,Sapna,7099,7150,6970,7063,8847446551,1254970,316,7040
9/26/2009,Sapna,6861,6970,6852,6942,6818365235,993850,285,6852
9/27/2009,Sapna,6848,6898,6734,6828,6805979218,1007645,246,6735
9/28/2009,Sapna,6700,6789,6650,6805,1998028960,298134,83,6653
9/29/2009,Sapna,6665,6851,6665,6805,2141318635,314695,113,6823
9/30/2009,Sapna,6800,6950,6800,6815,3081108618,450272,110,6850
10/3/2009,Sapna,7019,7019,7017,7019,13080244666,1863579,280,7019
10/4/2009,Sapna,7200,7200,6850,7007,8576730862,1224789,253,6950
10/5/2009,Sapna,6898,6898,6800,6925,5380456143,787391,195,6850
10/6/2009,Sapna,6800,7132,6800,7054,18030827289,2556228,455,7078
10/7/2009,Sapna,7129,7265,7054,7079,1.65609E+11,23392818,1855,7060
10/10/2009,Sapna,7260,7260,7090,7151,61426966075,8589922,1239,7100
10/11/2009,Sapna,7167,7239,6937,7039,22084164342,3137434,464,6937
10/12/2009,Sapna,6859,6859,6828,6940,5375553960,787115,151,6828
10/13/2009,Sapna,6750,7148,6732,6985,58466887218,8370782,804,7001
10/17/2009,Sapna,7150,7150,6781,6947,10350510248,1490812,305,6800
10/18/2009,Sapna,6940,6940,6739,6754,20315020495,3007743,479,6750
10/19/2009,Sapna,6810,6900,6660,6733,10256377066,1523745,338,6712
10/20/2009,Sapna,6780,6850,6750,6746,2812764581,414657,142,6800
10/21/2009,Sapna,6849,6899,6726,6774,6451362974,949348,239,6726
10/24/2009,Sapna,6742,6850,6740,6775,10467608736,1545026,296,6750
10/25/2009,Sapna,6732,6900,6730,6788,81076180678,11943921,252,6812
10/26/2009,Sapna,6805,6805,6778,6789,3808837150,560912,124,6783
10/27/2009,Sapna,6800,6800,6700,6747,9467272271,1404889,211,6750
10/28/2009,Sapna,6685,6768,6680,6704,12396234762,1849013,330,6680
10/31/2009,Sapna,6767,6768,6503,6563,21116585087,3217495,441,6503
11/1/2009,Sapna,6367,6367,6367,6544,1037553586,162958,30,6367
11/2/2009,Sapna,6348,6348,6348,6538,323379816,50942,11,6348
11/3/2009,Sapna,6342,6342,6342,6538,22666308,3574,4,6342
11/4/2009,Sapna,6342,6342,6342,6538,976668,154,1,6342
11/7/2009,Sapna,6310,6310,6310,6536,76489820,12122,6,6310
11/8/2009,Sapna,6308,6308,6308,6534,91838172,14559,4,6308
11/9/2009,Sapna,6306,6306,6306,6533,47061678,7463,7,6306
11/10/2009,Sapna,6305,6305,6305,6533,630500,100,1,6305
11/11/2009,Sapna,6305,6305,6305,6305,10575918730,1677386,73,6305
11/14/2009,Sapna,6085,6085,6085,6267,1768921670,290702,29,6085
11/15/2009,Sapna,6048,6048,6048,6259,366369696,60577,5,6048
11/16/2009,Sapna,6040,6040,6040,6257,92641520,15338,8,6040
11/17/2009,Sapna,6039,6039,6039,6164,4291947495,710705,22,6039
11/18/2009,Sapna,5949,5949,5949,6085,3628776969,609981,20,5949
